Date,Close,Open,High,Low
"Jun 03, 2019",35.79,37.1,37.34,35.4
"Jun 04, 2019",38.72,36.22,38.8,35.92
"Jun 05, 2019",39.32,39.74,40.26,38.37
"Jun 06, 2019",41.19,40.89,42.2,40.36
"Jun 07, 2019",40.9,41,42.17,40.7
"Jun 10, 2019",42.58,42.05,43.39,41.8
"Jun 11, 2019",43.42,43.83,44.18,42.7
"Jun 12, 2019",41.85,44.59,44.68,41.8
"Jun 13, 2019",42.78,42.08,42.98,41.5
"Jun 14, 2019",42.98,42.25,43.33,42.08
"Jun 17, 2019",45.01,43.1,45.4,42.85
"Jun 18, 2019",44.95,45.74,46.95,44.51
"Jun 19, 2019",45.29,45.02,45.55,44.21
"Jun 20, 2019",43.92,44.6,45.38,43.27
"Jun 21, 2019",44.37,43.24,44.44,43.1
"Jun 24, 2019",44.73,44.65,45.17,44.2
"Jun 25, 2019",43.95,44.88,45.07,43.9
"Jun 26, 2019",43.85,44.06,45.45,43.62
"Jun 27, 2019",44.57,43.89,44.58,43.47
"Jun 28, 2019",44.69,44.2,45.03,44.16
"Jul 01, 2019",45.43,46.04,46.62,45.26
"Jul 02, 2019",44.91,45.78,45.83,44.44
"Jul 03, 2019",46.98,47.88,48.31,46.9
"Jul 05, 2019",46.62,46.91,47.09,46.16
"Jul 08, 2019",46.07,46.25,46.45,45.73
"Jul 09, 2019",46.01,45.79,46.2,45.46
"Jul 10, 2019",47.78,46.83,47.79,46.63
"Jul 11, 2019",47.72,47.63,48.3,47.16
"Jul 12, 2019",49.02,47.95,49.08,47.94
"Jul 15, 2019",50.7,49.6,50.88,48.97
"Jul 16, 2019",50.48,49.86,50.71,49.59
"Jul 17, 2019",50.97,51.13,51.66,50.67
"Jul 18, 2019",50.71,51.01,51.15,50.38
"Jul 19, 2019",51.64,51.14,51.99,50.92
"Jul 22, 2019",51.14,51.75,52.43,50.84
"Jul 23, 2019",52.03,51.34,52.1,50.9
"Jul 24, 2019",52.98,51.83,53.21,51.63
"Jul 25, 2019",45.76,46.7,46.9,45.11
"Jul 26, 2019",45.61,45.38,46.05,44.45
"Jul 29, 2019",47.15,45.42,47.19,45.21
"Jul 30, 2019",48.45,46.58,48.67,46.44
"Jul 31, 2019",48.32,48.6,49.34,47.33
"Aug 01, 2019",46.77,48.53,48.9,46.35
"Aug 02, 2019",46.87,46.27,47.25,45.85
"Aug 05, 2019",45.66,45.92,46.27,45.16
"Aug 06, 2019",46.15,46.38,46.5,45.15
"Aug 07, 2019",46.68,45.3,46.71,45.16
"Aug 08, 2019",47.66,46.89,47.96,46.53
"Aug 09, 2019",47,47.21,47.79,46.76
"Aug 12, 2019",45.8,46.6,47.15,45.75
"Aug 13, 2019",47,45.76,47.2,45.51
"Aug 14, 2019",43.92,46.24,46.3,43.34
"Aug 15, 2019",43.13,44.17,44.31,42.31
"Aug 16, 2019",43.99,43.33,44.45,43.2
"Aug 19, 2019",45.37,44.84,45.57,44.34
"Aug 20, 2019",45.17,45.52,45.82,44.91
"Aug 21, 2019",44.17,44.4,44.64,43.52
"Aug 22, 2019",44.43,44.56,45.08,43.64
"Aug 23, 2019",42.28,43.99,44.23,42.2
"Aug 26, 2019",43,42.72,43,42.31
"Aug 27, 2019",42.82,43.15,43.76,42.41
"Aug 28, 2019",43.12,42.74,43.45,42.46
"Aug 29, 2019",44.34,43.8,44.68,43.6
"Aug 30, 2019",45.12,45.83,46.49,44.84
"Sep 03, 2019",45,44.82,45.79,44.63
"Sep 04, 2019",44.14,45.38,45.69,43.84
"Sep 05, 2019",45.92,44.5,45.96,44.17
"Sep 06, 2019",45.49,45.44,45.93,45.03
"Sep 09, 2019",46.36,46,46.75,45.85
"Sep 10, 2019",47.11,46.16,47.11,45.79
"Sep 11, 2019",49.42,47.48,49.63,47.2
"Sep 12, 2019",49.17,49.54,50.7,48.88
"Sep 13, 2019",49.04,49.39,49.69,48.97
"Sep 16, 2019",48.56,49.2,49.49,48.23
"Sep 17, 2019",48.96,48.49,49.12,48.07
"Sep 18, 2019",48.7,49,49.63,48.47
"Sep 19, 2019",49.32,49.2,49.59,48.97
"Sep 20, 2019",48.12,49.3,49.39,47.63
"Sep 23, 2019",48.25,48,49.04,47.84
"Sep 24, 2019",44.64,48.3,48.4,44.52
"Sep 25, 2019",45.74,44.91,45.8,43.67
"Sep 26, 2019",48.51,46.13,48.66,45.48
"Sep 27, 2019",48.43,48.44,49.74,47.75
"Sep 30, 2019",48.17,48.6,48.8,47.22
"Oct 01, 2019",48.94,48.3,49.19,47.83
"Oct 02, 2019",48.63,48.66,48.93,47.89
"Oct 03, 2019",46.61,46.37,46.9,44.86
"Oct 04, 2019",46.29,46.32,46.96,45.61
"Oct 07, 2019",47.54,45.96,47.71,45.71
"Oct 08, 2019",48.01,47.17,48.79,46.9
"Oct 09, 2019",48.91,48.26,49.46,48.13
"Oct 10, 2019",48.95,49.06,49.86,48.32
"Oct 11, 2019",49.58,49.43,50.22,49.36
"Oct 14, 2019",51.39,49.58,51.71,49.43
"Oct 15, 2019",51.58,51.54,52,50.82
"Oct 16, 2019",51.95,51.48,52.42,51.38
"Oct 17, 2019",52.39,52.5,52.96,52.03
"Oct 18, 2019",51.39,52.14,52.56,51.02
"Oct 21, 2019",50.7,51.67,51.9,50.04
"Oct 22, 2019",51.12,50.86,51.67,50.17
"Oct 23, 2019",50.94,50.9,51.23,50.27
"Oct 24, 2019",59.94,59.67,60.99,57.84
"Oct 25, 2019",65.63,59.54,66,59.22
"Oct 28, 2019",65.54,65.51,68.17,64.52
"Oct 29, 2019",63.24,64,64.86,62.95
"Oct 30, 2019",63,62.6,63.76,61.99
"Oct 31, 2019",62.98,62.62,63.8,62.6
"Nov 01, 2019",62.66,63.26,63.3,61.96
"Nov 04, 2019",63.49,62.96,64.39,61.85
"Nov 05, 2019",63.44,63.92,64.7,63.22
"Nov 06, 2019",65.32,63.6,65.34,62.9
"Nov 07, 2019",67.11,65.83,68.3,65.6
"Nov 08, 2019",67.43,66.9,67.49,66.5
"Nov 11, 2019",69.02,68.79,69.84,68.4
"Nov 12, 2019",69.99,69.38,70.07,68.81
"Nov 13, 2019",69.22,71,71.27,69.04
"Nov 14, 2019",69.87,69.22,70.77,68.58
"Nov 15, 2019",70.43,70.13,70.56,69.67
"Nov 18, 2019",70,70.58,70.63,69.22
"Nov 19, 2019",71.9,70.35,72,69.56
"Nov 20, 2019",70.44,72,72.24,69.91
"Nov 21, 2019",70.97,70.9,72.17,70.8
"Nov 22, 2019",66.61,68.03,68.2,66
"Nov 25, 2019",67.27,68.86,68.91,66.89
"Nov 26, 2019",65.78,67.05,67.1,65.42
"Nov 27, 2019",66.26,66.22,66.79,65.71
"Nov 29, 2019",65.99,66.22,66.25,65.5
"Dec 02, 2019",66.97,65.88,67.28,65.74
"Dec 03, 2019",67.24,66.52,67.58,66.44
"Dec 04, 2019",66.61,67.55,67.57,66.57
"Dec 05, 2019",66.07,66.57,66.88,65.45
"Dec 06, 2019",67.18,67,67.77,66.95
"Dec 09, 2019",67.91,67.32,68.89,67.02
"Dec 10, 2019",69.77,67.99,70.15,67.86
"Dec 11, 2019",70.54,70.38,71.44,70.22
"Dec 12, 2019",71.94,70.98,72.55,70.65
"Dec 13, 2019",71.68,72.21,73.04,70.93
"Dec 16, 2019",76.3,72.51,76.72,72.5
"Dec 17, 2019",75.8,75.8,77.1,75.18
"Dec 18, 2019",78.63,76.13,79.04,76.12
"Dec 19, 2019",80.81,79.46,81.37,79.3
"Dec 20, 2019",81.12,82.06,82.6,80.04
"Dec 23, 2019",83.84,82.36,84.4,82
"Dec 24, 2019",85.05,83.67,85.09,82.54
"Dec 26, 2019",86.19,85.58,86.7,85.27
"Dec 27, 2019",86.08,87,87.06,85.22
"Dec 30, 2019",82.94,85.76,85.8,81.85
"Dec 31, 2019",83.67,81,84.26,80.42
"Jan 02, 2020",86.05,84.9,86.14,84.34
"Jan 03, 2020",88.6,88.1,90.8,87.38
"Jan 06, 2020",90.31,88.09,90.31,88
"Jan 07, 2020",93.81,92.28,94.33,90.67
"Jan 08, 2020",98.43,94.74,99.7,93.65
"Jan 09, 2020",96.27,99.42,99.76,94.57
"Jan 10, 2020",95.63,96.36,96.99,94.74
"Jan 13, 2020",104.97,98.7,105.13,98.4
"Jan 14, 2020",107.58,108.85,109.48,104.98
"Jan 15, 2020",103.7,105.95,107.57,103.36
"Jan 16, 2020",102.7,98.75,102.89,98.43
"Jan 17, 2020",102.1,101.52,103.13,100.63
"Jan 21, 2020",109.44,106.05,109.72,105.68
"Jan 22, 2020",113.91,114.38,118.9,111.82
"Jan 23, 2020",114.44,112.85,116.4,111.12
"Jan 24, 2020",112.96,114.13,114.77,110.85
"Jan 27, 2020",111.6,108.4,112.89,107.86
"Jan 28, 2020",113.38,113.7,115.36,111.62
"Jan 29, 2020",116.2,115.14,117.96,113.49
"Jan 30, 2020",128.16,126.48,130.18,123.6
"Jan 31, 2020",130.11,128,130.6,126.5
"Feb 03, 2020",156,134.74,157.23,134.7
"Feb 04, 2020",177.41,176.59,193.8,166.78
"Feb 05, 2020",146.94,164.65,169.2,140.82
"Feb 06, 2020",149.79,139.98,159.17,137.4
"Feb 07, 2020",149.61,146.11,153.95,146
"Feb 10, 2020",154.26,160,164,150.48
"Feb 11, 2020",154.88,153.76,156.7,151.6
"Feb 12, 2020",153.46,155.57,157.95,152.67
"Feb 13, 2020",160.8,148.37,163.6,147
"Feb 14, 2020",160.01,157.44,162.59,157.1
"Feb 18, 2020",171.68,168.32,172,166.47
"Feb 19, 2020",183.48,184.7,188.96,180.2
"Feb 20, 2020",179.88,182.39,182.4,171.99
"Feb 21, 2020",180.2,181.4,182.61,176.09
"Feb 24, 2020",166.76,167.8,172.7,164.44
"Feb 25, 2020",159.98,169.8,171.32,157.4
"Feb 26, 2020",155.76,156.5,162.66,155.22
"Feb 27, 2020",135.8,146,147.95,133.8
"Feb 28, 2020",133.6,125.94,138.1,122.3
"Mar 02, 2020",148.72,142.25,148.74,137.33
"Mar 03, 2020",149.1,161,161.4,143.22
"Mar 04, 2020",149.9,152.79,153.3,144.95
"Mar 05, 2020",144.91,144.75,149.15,143.61
"Mar 06, 2020",140.7,138,141.4,136.85
"Mar 09, 2020",121.6,121.08,132.6,121
"Mar 10, 2020",129.07,131.89,133.6,121.6
"Mar 11, 2020",126.85,128.04,130.72,122.6
"Mar 12, 2020",112.11,116.18,118.9,109.25
"Mar 13, 2020",109.32,119,121.51,100.4
"Mar 16, 2020",89.01,93.9,98.97,88.43
"Mar 17, 2020",86.04,88,94.37,79.2
"Mar 18, 2020",72.24,77.8,80.97,70.1
"Mar 19, 2020",85.53,74.94,90.4,71.69
"Mar 20, 2020",85.51,87.64,95.4,85.16
"Mar 23, 2020",86.86,86.72,88.4,82.1
"Mar 24, 2020",101,95.46,102.74,94.8
"Mar 25, 2020",107.85,109.05,111.4,102.22
"Mar 26, 2020",105.63,109.48,112,102.45
"Mar 27, 2020",102.87,101,105.16,98.81
"Mar 30, 2020",100.43,102.05,103.33,98.25
"Mar 31, 2020",104.8,100.25,108.59,99.4
"Apr 01, 2020",96.31,100.8,102.79,95.02
"Apr 02, 2020",90.89,96.21,98.85,89.28
"Apr 03, 2020",96,101.9,103.1,93.68
"Apr 06, 2020",103.25,102.24,104.2,99.59
"Apr 07, 2020",109.09,109,113,106.47
"Apr 08, 2020",109.77,110.84,111.44,106.67
"Apr 09, 2020",114.6,112.42,115.04,111.42
"Apr 13, 2020",130.19,118.03,130.4,116.11
"Apr 14, 2020",141.98,139.79,148.38,138.49
"Apr 15, 2020",145.97,148.4,150.63,142
"Apr 16, 2020",149.04,143.39,151.89,141.34
"Apr 17, 2020",150.78,154.46,154.99,149.53
"Apr 20, 2020",149.27,146.54,153.11,142.44
"Apr 21, 2020",137.34,146.02,150.67,134.76
"Apr 22, 2020",146.42,140.8,146.8,137.74
"Apr 23, 2020",141.13,145.52,146.8,140.63
"Apr 24, 2020",145.03,142.16,146.15,139.64
"Apr 27, 2020",159.75,147.52,159.9,147
"Apr 28, 2020",153.82,159.13,161,151.34
"Apr 29, 2020",160.1,158.03,160.64,156.63
"Apr 30, 2020",156.38,171.04,173.96,152.7
"May 01, 2020",140.26,151,154.55,136.61
"May 04, 2020",152.24,140.2,152.4,139.6
"May 05, 2020",153.64,157.96,159.78,152.44
"May 06, 2020",156.52,155.3,157.96,152.22
"May 07, 2020",156.01,155.44,159.28,154.47
"May 08, 2020",163.88,158.75,164.8,157.4
"May 11, 2020",162.26,158.1,164.8,157
"May 12, 2020",161.88,165.4,168.66,161.6
"May 13, 2020",158.19,164.17,165.2,152.66
"May 14, 2020",160.67,156,160.67,152.8
"May 15, 2020",159.83,158.07,161.01,157.31
"May 18, 2020",162.73,165.56,166.94,160.78
"May 19, 2020",161.6,163.03,164.41,161.22
"May 20, 2020",163.11,164.1,165.2,162.36
"May 21, 2020",165.52,163.2,166.5,159.2
"May 22, 2020",163.38,164.43,166.36,162.4
"May 26, 2020",163.77,166.9,166.92,163.14
"May 27, 2020",164.05,164.17,165.54,157
"May 28, 2020",161.16,162.7,164.95,160.34
"May 29, 2020",167,161.75,167,160.84
"Jun 01, 2020",179.62,171.6,179.8,170.82
