Date,Tesla,Nasdaq
"Jun 03, 2019",35.79,7333.02
"Jun 04, 2019",38.72,7527.12
"Jun 05, 2019",39.32,7575.48
"Jun 06, 2019",41.19,7615.55
"Jun 07, 2019",40.9,7742.1
"Jun 10, 2019",42.58,7823.17
"Jun 11, 2019",43.42,7822.57
"Jun 12, 2019",41.85,7792.72
"Jun 13, 2019",42.78,7837.13
"Jun 14, 2019",42.98,7796.66
"Jun 17, 2019",45.01,7845.02
"Jun 18, 2019",44.95,7953.88
"Jun 19, 2019",45.29,7987.32
"Jun 20, 2019",43.92,8051.34
"Jun 21, 2019",44.37,8031.71
"Jun 24, 2019",44.73,8005.7
"Jun 25, 2019",43.95,7884.72
"Jun 26, 2019",43.85,7909.97
"Jun 27, 2019",44.57,7967.76
"Jun 28, 2019",44.69,8006.24
"Jul 01, 2019",45.43,8091.16
"Jul 02, 2019",44.91,8109.09
"Jul 03, 2019",46.98,8170.23
"Jul 05, 2019",46.62,8161.79
"Jul 08, 2019",46.07,8098.38
"Jul 09, 2019",46.01,8141.73
"Jul 10, 2019",47.78,8202.53
"Jul 11, 2019",47.72,8196.04
"Jul 12, 2019",49.02,8244.14
"Jul 15, 2019",50.7,8258.18
"Jul 16, 2019",50.48,8222.8
"Jul 17, 2019",50.97,8185.21
"Jul 18, 2019",50.71,8207.24
"Jul 19, 2019",51.64,8146.49
"Jul 22, 2019",51.14,8204.14
"Jul 23, 2019",52.03,8251.4
"Jul 24, 2019",52.98,8321.5
"Jul 25, 2019",45.76,8238.54
"Jul 26, 2019",45.61,8330.21
"Jul 29, 2019",47.15,8293.33
"Jul 30, 2019",48.45,8273.61
"Jul 31, 2019",48.32,8175.42
"Aug 01, 2019",46.77,8111.12
"Aug 02, 2019",46.87,8004.07
"Aug 05, 2019",45.66,7726.04
"Aug 06, 2019",46.15,7833.27
"Aug 07, 2019",46.68,7862.83
"Aug 08, 2019",47.66,8039.16
"Aug 09, 2019",47,7959.14
"Aug 12, 2019",45.8,7863.41
"Aug 13, 2019",47,8016.36
"Aug 14, 2019",43.92,7773.94
"Aug 15, 2019",43.13,7766.62
"Aug 16, 2019",43.99,7895.99
"Aug 19, 2019",45.37,8002.81
"Aug 20, 2019",45.17,7948.56
"Aug 21, 2019",44.17,8020.21
"Aug 22, 2019",44.43,7991.39
"Aug 23, 2019",42.28,7751.77
"Aug 26, 2019",43,7853.73
"Aug 27, 2019",42.82,7826.95
"Aug 28, 2019",43.12,7856.88
"Aug 29, 2019",44.34,7973.39
"Aug 30, 2019",45.12,7962.88
"Sep 03, 2019",45,7874.16
"Sep 04, 2019",44.14,7976.88
"Sep 05, 2019",45.92,8116.83
"Sep 06, 2019",45.49,8103.07
"Sep 09, 2019",46.36,8087.44
"Sep 10, 2019",47.11,8084.15
"Sep 11, 2019",49.42,8169.68
"Sep 12, 2019",49.17,8194.47
"Sep 13, 2019",49.04,8176.71
"Sep 16, 2019",48.56,8153.54
"Sep 17, 2019",48.96,8186.02
"Sep 18, 2019",48.7,8177.39
"Sep 19, 2019",49.32,8182.88
"Sep 20, 2019",48.12,8117.67
"Sep 23, 2019",48.25,8112.46
"Sep 24, 2019",44.64,7993.63
"Sep 25, 2019",45.74,8077.38
"Sep 26, 2019",48.51,8030.66
"Sep 27, 2019",48.43,7939.63
"Sep 30, 2019",48.17,7999.33
"Oct 01, 2019",48.94,7908.67
"Oct 02, 2019",48.63,7785.23
"Oct 03, 2019",46.61,7872.25
"Oct 04, 2019",46.29,7982.46
"Oct 07, 2019",47.54,7956.28
"Oct 08, 2019",48.01,7823.76
"Oct 09, 2019",48.91,7903.73
"Oct 10, 2019",48.95,7950.77
"Oct 11, 2019",49.58,8057.04
"Oct 14, 2019",51.39,8048.65
"Oct 15, 2019",51.58,8148.71
"Oct 16, 2019",51.95,8124.18
"Oct 17, 2019",52.39,8156.85
"Oct 18, 2019",51.39,8089.54
"Oct 21, 2019",50.7,8162.99
"Oct 22, 2019",51.12,8104.3
"Oct 23, 2019",50.94,8119.79
"Oct 24, 2019",59.94,8185.8
"Oct 25, 2019",65.63,8243.12
"Oct 28, 2019",65.54,8325.99
"Oct 29, 2019",63.24,8276.85
"Oct 30, 2019",63,8303.98
"Oct 31, 2019",62.98,8292.36
"Nov 01, 2019",62.66,8386.4
"Nov 04, 2019",63.49,8433.2
"Nov 05, 2019",63.44,8434.68
"Nov 06, 2019",65.32,8410.63
"Nov 07, 2019",67.11,8434.52
"Nov 08, 2019",67.43,8475.31
"Nov 11, 2019",69.02,8464.28
"Nov 12, 2019",69.99,8486.09
"Nov 13, 2019",69.22,8482.1
"Nov 14, 2019",69.87,8479.02
"Nov 15, 2019",70.43,8540.83
"Nov 18, 2019",70,8549.94
"Nov 19, 2019",71.9,8570.66
"Nov 20, 2019",70.44,8526.73
"Nov 21, 2019",70.97,8506.21
"Nov 22, 2019",66.61,8519.89
"Nov 25, 2019",67.27,8632.49
"Nov 26, 2019",65.78,8647.93
"Nov 27, 2019",66.26,8705.17
"Nov 29, 2019",65.99,8665.47
"Dec 02, 2019",66.97,8567.99
"Dec 03, 2019",67.24,8520.64
"Dec 04, 2019",66.61,8566.67
"Dec 05, 2019",66.07,8570.7
"Dec 06, 2019",67.18,8656.53
"Dec 09, 2019",67.91,8621.83
"Dec 10, 2019",69.77,8616.18
"Dec 11, 2019",70.54,8654.05
"Dec 12, 2019",71.94,8717.32
"Dec 13, 2019",71.68,8734.88
"Dec 16, 2019",76.3,8814.23
"Dec 17, 2019",75.8,8823.36
"Dec 18, 2019",78.63,8827.74
"Dec 19, 2019",80.81,8887.22
"Dec 20, 2019",81.12,8924.95
"Dec 23, 2019",83.84,8945.65
"Dec 24, 2019",85.05,8952.88
"Dec 26, 2019",86.19,9022.39
"Dec 27, 2019",86.08,9006.62
"Dec 30, 2019",82.94,8945.99
"Dec 31, 2019",83.67,8972.6
"Jan 02, 2020",86.05,9092.19
"Jan 03, 2020",88.6,9020.77
"Jan 06, 2020",90.31,9071.47
"Jan 07, 2020",93.81,9068.58
"Jan 08, 2020",98.43,9129.24
"Jan 09, 2020",96.27,9203.43
"Jan 10, 2020",95.63,9178.86
"Jan 13, 2020",104.97,9273.93
"Jan 14, 2020",107.58,9251.33
"Jan 15, 2020",103.7,9258.69
"Jan 16, 2020",102.7,9357.13
"Jan 17, 2020",102.1,9388.94
"Jan 21, 2020",109.44,9370.81
"Jan 22, 2020",113.91,9383.77
"Jan 23, 2020",114.44,9402.48
"Jan 24, 2020",112.96,9314.91
"Jan 27, 2020",111.6,9139.31
"Jan 28, 2020",113.38,9269.68
"Jan 29, 2020",116.2,9275.16
"Jan 30, 2020",128.16,9298.93
"Jan 31, 2020",130.11,9150.94
"Feb 03, 2020",156,9273.4
"Feb 04, 2020",177.41,9467.97
"Feb 05, 2020",146.94,9508.68
"Feb 06, 2020",149.79,9572.15
"Feb 07, 2020",149.61,9520.51
"Feb 10, 2020",154.26,9628.39
"Feb 11, 2020",154.88,9638.94
"Feb 12, 2020",153.46,9725.96
"Feb 13, 2020",160.8,9711.97
"Feb 14, 2020",160.01,9731.18
"Feb 18, 2020",171.68,9732.74
"Feb 19, 2020",183.48,9817.18
"Feb 20, 2020",179.88,9750.97
"Feb 21, 2020",180.2,9576.59
"Feb 24, 2020",166.76,9221.28
"Feb 25, 2020",159.98,8965.61
"Feb 26, 2020",155.76,8980.77
"Feb 27, 2020",135.8,8566.48
"Feb 28, 2020",133.6,8567.37
"Mar 02, 2020",148.72,8952.17
"Mar 03, 2020",149.1,8684.09
"Mar 04, 2020",149.9,9018.09
"Mar 05, 2020",144.91,8738.59
"Mar 06, 2020",140.7,8575.62
"Mar 09, 2020",121.6,7950.68
"Mar 10, 2020",129.07,8344.25
"Mar 11, 2020",126.85,7952.05
"Mar 12, 2020",112.11,7201.8
"Mar 13, 2020",109.32,7874.88
"Mar 16, 2020",89.01,6904.59
"Mar 17, 2020",86.04,7334.78
"Mar 18, 2020",72.24,6989.84
"Mar 19, 2020",85.53,7150.58
"Mar 20, 2020",85.51,6879.52
"Mar 23, 2020",86.86,6860.67
"Mar 24, 2020",101,7417.86
"Mar 25, 2020",107.85,7384.3
"Mar 26, 2020",105.63,7797.54
"Mar 27, 2020",102.87,7502.38
"Mar 30, 2020",100.43,7774.15
"Mar 31, 2020",104.8,7700.1
"Apr 01, 2020",96.31,7360.58
"Apr 02, 2020",90.89,7487.31
"Apr 03, 2020",96,7373.08
"Apr 06, 2020",103.25,7913.24
"Apr 07, 2020",109.09,7887.26
"Apr 08, 2020",109.77,8090.9
"Apr 09, 2020",114.6,8153.57
"Apr 13, 2020",130.19,8192.42
"Apr 14, 2020",141.98,8515.74
"Apr 15, 2020",145.97,8393.18
"Apr 16, 2020",149.04,8532.36
"Apr 17, 2020",150.78,8650.14
"Apr 20, 2020",149.27,8560.73
"Apr 21, 2020",137.34,8263.23
"Apr 22, 2020",146.42,8495.38
"Apr 23, 2020",141.13,8494.75
"Apr 24, 2020",145.03,8634.52
"Apr 27, 2020",159.75,8730.16
"Apr 28, 2020",153.82,8607.73
"Apr 29, 2020",160.1,8914.71
"Apr 30, 2020",156.38,8889.55
"May 01, 2020",140.26,8604.95
"May 04, 2020",152.24,8710.72
"May 05, 2020",153.64,8809.12
"May 06, 2020",156.52,8854.39
"May 07, 2020",156.01,8979.66
"May 08, 2020",163.88,9121.32
"May 11, 2020",162.26,9192.34
"May 12, 2020",161.88,9002.55
"May 13, 2020",158.19,8863.17
"May 14, 2020",160.67,8943.72
"May 15, 2020",159.83,9014.56
"May 18, 2020",162.73,9234.83
"May 19, 2020",161.6,9185.1
"May 20, 2020",163.11,9375.78
"May 21, 2020",165.52,9284.88
"May 22, 2020",163.38,9324.59
"May 26, 2020",163.77,9340.22
"May 27, 2020",164.05,9412.36
"May 28, 2020",161.16,9368.99
"May 29, 2020",167,9489.87
"Jun 01, 2020",179.62,9552.05
