Tesla,Close
15:30 - 15:31 01/02/2020,85.401
15:31 - 15:32 01/02/2020,85.282
15:32 - 15:33 01/02/2020,85.224
15:33 - 15:34 01/02/2020,85.55
15:34 - 15:35 01/02/2020,85.252
15:35 - 15:36 01/02/2020,85.412
15:36 - 15:37 01/02/2020,85.328
15:37 - 15:38 01/02/2020,85.322
15:38 - 15:39 01/02/2020,85.457
15:39 - 15:40 01/02/2020,85.302
15:40 - 15:41 01/02/2020,84.753
15:41 - 15:42 01/02/2020,84.738
15:42 - 15:43 01/02/2020,84.798
15:43 - 15:44 01/02/2020,84.89
15:44 - 15:45 01/02/2020,84.825
15:45 - 15:46 01/02/2020,85.042
15:46 - 15:47 01/02/2020,84.85
15:47 - 15:48 01/02/2020,84.946
15:48 - 15:49 01/02/2020,84.76
15:49 - 15:50 01/02/2020,84.62
15:50 - 15:51 01/02/2020,84.392
15:51 - 15:52 01/02/2020,84.644
15:52 - 15:53 01/02/2020,84.519
15:53 - 15:54 01/02/2020,84.603
15:54 - 15:55 01/02/2020,84.596
15:55 - 15:56 01/02/2020,84.586
15:56 - 15:57 01/02/2020,84.476
15:57 - 15:58 01/02/2020,84.551
15:58 - 15:59 01/02/2020,84.568
15:59 - 16:00 01/02/2020,84.9
16:00 - 16:01 01/02/2020,84.96
16:01 - 16:02 01/02/2020,84.994
16:02 - 16:03 01/02/2020,84.931
16:03 - 16:04 01/02/2020,85.161
16:04 - 16:05 01/02/2020,85.231
16:05 - 16:06 01/02/2020,85.323
16:06 - 16:07 01/02/2020,85.39
16:07 - 16:08 01/02/2020,85.328
16:08 - 16:09 01/02/2020,85.304
16:09 - 16:10 01/02/2020,85.334
16:10 - 16:11 01/02/2020,85.338
16:11 - 16:12 01/02/2020,85.176
16:12 - 16:13 01/02/2020,85.204
16:13 - 16:14 01/02/2020,85.062
16:14 - 16:15 01/02/2020,85.066
16:15 - 16:16 01/02/2020,84.82
16:16 - 16:17 01/02/2020,84.976
16:17 - 16:18 01/02/2020,85.162
16:18 - 16:19 01/02/2020,85.193
16:19 - 16:20 01/02/2020,85.052
16:20 - 16:21 01/02/2020,85.048
16:21 - 16:22 01/02/2020,84.971
16:22 - 16:23 01/02/2020,84.88
16:23 - 16:24 01/02/2020,84.702
16:24 - 16:25 01/02/2020,84.802
16:25 - 16:26 01/02/2020,84.756
16:26 - 16:27 01/02/2020,84.729
16:27 - 16:28 01/02/2020,84.821
16:28 - 16:29 01/02/2020,84.804
16:29 - 16:30 01/02/2020,84.784
16:30 - 16:31 01/02/2020,84.9
16:31 - 16:32 01/02/2020,84.844
16:32 - 16:33 01/02/2020,84.734
16:33 - 16:34 01/02/2020,84.83
16:34 - 16:35 01/02/2020,84.8
16:35 - 16:36 01/02/2020,84.749
16:36 - 16:37 01/02/2020,84.659
16:37 - 16:38 01/02/2020,84.664
16:38 - 16:39 01/02/2020,84.662
16:39 - 16:40 01/02/2020,84.654
16:40 - 16:41 01/02/2020,84.667
16:41 - 16:42 01/02/2020,84.552
16:42 - 16:43 01/02/2020,84.582
16:43 - 16:44 01/02/2020,84.576
16:44 - 16:45 01/02/2020,84.652
16:45 - 16:46 01/02/2020,84.784
16:46 - 16:47 01/02/2020,84.808
16:47 - 16:48 01/02/2020,84.806
16:48 - 16:49 01/02/2020,84.702
16:49 - 16:50 01/02/2020,84.82
16:50 - 16:51 01/02/2020,84.772
16:51 - 16:52 01/02/2020,84.758
16:52 - 16:53 01/02/2020,84.773
16:53 - 16:54 01/02/2020,84.726
16:54 - 16:55 01/02/2020,84.732
16:55 - 16:56 01/02/2020,84.772
16:56 - 16:57 01/02/2020,84.846
16:57 - 16:58 01/02/2020,84.86
16:58 - 16:59 01/02/2020,84.834
16:59 - 17:00 01/02/2020,84.786
17:00 - 17:01 01/02/2020,84.74
17:01 - 17:02 01/02/2020,84.674
17:02 - 17:03 01/02/2020,84.75
17:03 - 17:04 01/02/2020,84.722
17:04 - 17:05 01/02/2020,84.734
17:05 - 17:06 01/02/2020,84.735
17:06 - 17:07 01/02/2020,84.775
17:07 - 17:08 01/02/2020,84.816
17:08 - 17:09 01/02/2020,84.806
17:09 - 17:10 01/02/2020,84.876
17:10 - 17:11 01/02/2020,84.88
17:11 - 17:12 01/02/2020,84.944
17:12 - 17:13 01/02/2020,85.046
17:13 - 17:14 01/02/2020,85.03
17:14 - 17:15 01/02/2020,85.019
17:15 - 17:16 01/02/2020,85
17:16 - 17:17 01/02/2020,85.004
17:17 - 17:18 01/02/2020,84.958
17:18 - 17:19 01/02/2020,84.99
17:19 - 17:20 01/02/2020,84.952
17:20 - 17:21 01/02/2020,84.966
17:21 - 17:22 01/02/2020,85.022
17:22 - 17:23 01/02/2020,85.134
17:23 - 17:24 01/02/2020,85.166
17:24 - 17:25 01/02/2020,85.161
17:25 - 17:26 01/02/2020,85.146
17:26 - 17:27 01/02/2020,85.142
17:27 - 17:28 01/02/2020,85.152
17:28 - 17:29 01/02/2020,85.302
17:29 - 17:30 01/02/2020,85.186
17:30 - 17:31 01/02/2020,85.254
17:31 - 17:32 01/02/2020,85.347
17:32 - 17:33 01/02/2020,85.316
17:33 - 17:34 01/02/2020,85.298
17:34 - 17:35 01/02/2020,85.2
17:35 - 17:36 01/02/2020,85.198
17:36 - 17:37 01/02/2020,85.236
17:37 - 17:38 01/02/2020,85.296
17:38 - 17:39 01/02/2020,85.3
17:39 - 17:40 01/02/2020,85.354
17:40 - 17:41 01/02/2020,85.199
17:41 - 17:42 01/02/2020,85.313
17:42 - 17:43 01/02/2020,85.301
17:43 - 17:44 01/02/2020,85.298
17:44 - 17:45 01/02/2020,85.332
17:45 - 17:46 01/02/2020,85.314
17:46 - 17:47 01/02/2020,85.254
17:47 - 17:48 01/02/2020,85.284
17:48 - 17:49 01/02/2020,85.294
17:49 - 17:50 01/02/2020,85.247
17:50 - 17:51 01/02/2020,85.178
17:51 - 17:52 01/02/2020,85.222
17:52 - 17:53 01/02/2020,85.131
17:53 - 17:54 01/02/2020,85.196
17:54 - 17:55 01/02/2020,85.217
17:55 - 17:56 01/02/2020,85.235
17:56 - 17:57 01/02/2020,85.282
17:57 - 17:58 01/02/2020,85.334
17:58 - 17:59 01/02/2020,85.317
17:59 - 18:00 01/02/2020,85.293
18:00 - 18:01 01/02/2020,85.308
18:01 - 18:02 01/02/2020,85.277
18:02 - 18:03 01/02/2020,85.254
18:03 - 18:04 01/02/2020,85.271
18:04 - 18:05 01/02/2020,85.288
18:05 - 18:06 01/02/2020,85.238
18:06 - 18:07 01/02/2020,85.254
18:07 - 18:08 01/02/2020,85.234
18:08 - 18:09 01/02/2020,85.275
18:09 - 18:10 01/02/2020,85.293
18:10 - 18:11 01/02/2020,85.28
18:11 - 18:12 01/02/2020,85.298
18:12 - 18:13 01/02/2020,85.307
18:13 - 18:14 01/02/2020,85.31
18:14 - 18:15 01/02/2020,85.306
18:15 - 18:16 01/02/2020,85.372
18:16 - 18:17 01/02/2020,85.368
18:17 - 18:18 01/02/2020,85.232
18:18 - 18:19 01/02/2020,85.255
18:19 - 18:20 01/02/2020,85.2
18:20 - 18:21 01/02/2020,85.181
18:21 - 18:22 01/02/2020,85.186
18:22 - 18:23 01/02/2020,85.212
18:23 - 18:24 01/02/2020,85.253
18:24 - 18:25 01/02/2020,85.287
18:25 - 18:26 01/02/2020,85.246
18:26 - 18:27 01/02/2020,85.238
18:27 - 18:28 01/02/2020,85.243
18:28 - 18:29 01/02/2020,85.26
18:29 - 18:30 01/02/2020,85.264
18:30 - 18:31 01/02/2020,85.244
18:31 - 18:32 01/02/2020,85.3
18:32 - 18:33 01/02/2020,85.364
18:33 - 18:34 01/02/2020,85.348
18:34 - 18:35 01/02/2020,85.376
18:35 - 18:36 01/02/2020,85.378
18:36 - 18:37 01/02/2020,85.347
18:37 - 18:38 01/02/2020,85.353
18:38 - 18:39 01/02/2020,85.345
18:39 - 18:40 01/02/2020,85.3
18:40 - 18:41 01/02/2020,85.288
18:41 - 18:42 01/02/2020,85.302
18:42 - 18:43 01/02/2020,85.288
18:43 - 18:44 01/02/2020,85.262
18:44 - 18:45 01/02/2020,85.294
18:45 - 18:46 01/02/2020,85.282
18:46 - 18:47 01/02/2020,85.341
18:47 - 18:48 01/02/2020,85.344
18:48 - 18:49 01/02/2020,85.346
18:49 - 18:50 01/02/2020,85.335
18:50 - 18:51 01/02/2020,85.398
18:51 - 18:52 01/02/2020,85.482
18:52 - 18:53 01/02/2020,85.474
18:53 - 18:54 01/02/2020,85.496
18:54 - 18:55 01/02/2020,85.47
18:55 - 18:56 01/02/2020,85.516
18:56 - 18:57 01/02/2020,85.557
18:57 - 18:58 01/02/2020,85.648
18:58 - 18:59 01/02/2020,85.632
18:59 - 19:00 01/02/2020,85.586
19:00 - 19:01 01/02/2020,85.629
19:01 - 19:02 01/02/2020,85.684
19:02 - 19:03 01/02/2020,85.626
19:03 - 19:04 01/02/2020,85.664
19:04 - 19:05 01/02/2020,85.702
19:05 - 19:06 01/02/2020,85.782
19:06 - 19:07 01/02/2020,85.678
19:07 - 19:08 01/02/2020,85.614
19:08 - 19:09 01/02/2020,85.684
19:09 - 19:10 01/02/2020,85.682
19:10 - 19:11 01/02/2020,85.652
19:11 - 19:12 01/02/2020,85.685
19:12 - 19:13 01/02/2020,85.66
19:13 - 19:14 01/02/2020,85.683
19:14 - 19:15 01/02/2020,85.658
19:15 - 19:16 01/02/2020,85.696
19:16 - 19:17 01/02/2020,85.8
19:17 - 19:18 01/02/2020,85.784
19:18 - 19:19 01/02/2020,85.793
19:19 - 19:20 01/02/2020,85.77
19:20 - 19:21 01/02/2020,85.826
19:21 - 19:22 01/02/2020,85.854
19:22 - 19:23 01/02/2020,85.811
19:23 - 19:24 01/02/2020,85.81
19:24 - 19:25 01/02/2020,85.796
19:25 - 19:26 01/02/2020,85.842
19:26 - 19:27 01/02/2020,85.842
19:27 - 19:28 01/02/2020,85.85
19:28 - 19:29 01/02/2020,85.89
19:29 - 19:30 01/02/2020,85.97
19:30 - 19:31 01/02/2020,85.918
19:31 - 19:32 01/02/2020,85.92
19:32 - 19:33 01/02/2020,85.968
19:33 - 19:34 01/02/2020,85.96
19:34 - 19:35 01/02/2020,85.944
19:35 - 19:36 01/02/2020,85.928
19:36 - 19:37 01/02/2020,85.92
19:37 - 19:38 01/02/2020,85.841
19:38 - 19:39 01/02/2020,85.92
19:39 - 19:40 01/02/2020,85.84
19:40 - 19:41 01/02/2020,85.862
19:41 - 19:42 01/02/2020,85.872
19:42 - 19:43 01/02/2020,85.89
19:43 - 19:44 01/02/2020,85.788
19:44 - 19:45 01/02/2020,85.65
19:45 - 19:46 01/02/2020,85.712
19:46 - 19:47 01/02/2020,85.692
19:47 - 19:48 01/02/2020,85.794
19:48 - 19:49 01/02/2020,85.818
19:49 - 19:50 01/02/2020,85.784
19:50 - 19:51 01/02/2020,85.838
19:51 - 19:52 01/02/2020,85.9
19:52 - 19:53 01/02/2020,85.871
19:53 - 19:54 01/02/2020,85.853
19:54 - 19:55 01/02/2020,85.91
19:55 - 19:56 01/02/2020,85.915
19:56 - 19:57 01/02/2020,85.886
19:57 - 19:58 01/02/2020,85.852
19:58 - 19:59 01/02/2020,85.846
19:59 - 20:00 01/02/2020,85.881
20:00 - 20:01 01/02/2020,85.872
20:01 - 20:02 01/02/2020,85.848
20:02 - 20:03 01/02/2020,85.794
20:03 - 20:04 01/02/2020,85.791
20:04 - 20:05 01/02/2020,85.79
20:05 - 20:06 01/02/2020,85.808
20:06 - 20:07 01/02/2020,85.874
20:07 - 20:08 01/02/2020,85.876
20:08 - 20:09 01/02/2020,85.794
20:09 - 20:10 01/02/2020,85.826
20:10 - 20:11 01/02/2020,85.836
20:11 - 20:12 01/02/2020,85.813
20:12 - 20:13 01/02/2020,85.804
20:13 - 20:14 01/02/2020,85.802
20:14 - 20:15 01/02/2020,85.77
20:15 - 20:16 01/02/2020,85.774
20:16 - 20:17 01/02/2020,85.752
20:17 - 20:18 01/02/2020,85.79
20:18 - 20:19 01/02/2020,85.786
20:19 - 20:20 01/02/2020,85.79
20:20 - 20:21 01/02/2020,85.782
20:21 - 20:22 01/02/2020,85.884
20:22 - 20:23 01/02/2020,85.95
20:23 - 20:24 01/02/2020,85.924
20:24 - 20:25 01/02/2020,86.09
20:25 - 20:26 01/02/2020,86.076
20:26 - 20:27 01/02/2020,86.112
20:27 - 20:28 01/02/2020,86.02
20:28 - 20:29 01/02/2020,86.062
20:29 - 20:30 01/02/2020,86.075
20:30 - 20:31 01/02/2020,86.09
20:31 - 20:32 01/02/2020,86.11
20:32 - 20:33 01/02/2020,86.038
20:33 - 20:34 01/02/2020,86.076
20:34 - 20:35 01/02/2020,86.102
20:35 - 20:36 01/02/2020,86.078
20:36 - 20:37 01/02/2020,86.07
20:37 - 20:38 01/02/2020,86.01
20:38 - 20:39 01/02/2020,86.068
20:39 - 20:40 01/02/2020,86.054
20:40 - 20:41 01/02/2020,86.058
20:41 - 20:42 01/02/2020,86.07
20:42 - 20:43 01/02/2020,86.058
20:43 - 20:44 01/02/2020,86.08
20:44 - 20:45 01/02/2020,86.046
20:45 - 20:46 01/02/2020,85.876
20:46 - 20:47 01/02/2020,85.95
20:47 - 20:48 01/02/2020,85.984
20:48 - 20:49 01/02/2020,85.978
20:49 - 20:50 01/02/2020,85.986
20:50 - 20:51 01/02/2020,86.049
20:51 - 20:52 01/02/2020,86.05
20:52 - 20:53 01/02/2020,86.042
20:53 - 20:54 01/02/2020,86.055
20:54 - 20:55 01/02/2020,86.049
20:55 - 20:56 01/02/2020,86.065
20:56 - 20:57 01/02/2020,86.104
20:57 - 20:58 01/02/2020,86.066
20:58 - 20:59 01/02/2020,86.05
20:59 - 21:00 01/02/2020,86.062
21:00 - 21:01 01/02/2020,86.027
21:01 - 21:02 01/02/2020,86.07
21:02 - 21:03 01/02/2020,86.049
21:03 - 21:04 01/02/2020,86.054
21:04 - 21:05 01/02/2020,86.077
21:05 - 21:06 01/02/2020,86.03
21:06 - 21:07 01/02/2020,86.034
21:07 - 21:08 01/02/2020,86.034
21:08 - 21:09 01/02/2020,85.954
21:09 - 21:10 01/02/2020,85.962
21:10 - 21:11 01/02/2020,85.976
21:11 - 21:12 01/02/2020,85.999
21:12 - 21:13 01/02/2020,85.986
21:13 - 21:14 01/02/2020,85.987
21:14 - 21:15 01/02/2020,86
21:15 - 21:16 01/02/2020,85.994
21:16 - 21:17 01/02/2020,85.984
21:17 - 21:18 01/02/2020,86.013
21:18 - 21:19 01/02/2020,86.004
21:19 - 21:20 01/02/2020,85.98
21:20 - 21:21 01/02/2020,85.988
21:21 - 21:22 01/02/2020,85.992
21:22 - 21:23 01/02/2020,85.944
21:23 - 21:24 01/02/2020,85.846
21:24 - 21:25 01/02/2020,85.802
21:25 - 21:26 01/02/2020,85.927
21:26 - 21:27 01/02/2020,85.991
21:27 - 21:28 01/02/2020,85.964
21:28 - 21:29 01/02/2020,85.973
21:29 - 21:30 01/02/2020,85.96
21:30 - 21:31 01/02/2020,85.924
21:31 - 21:32 01/02/2020,85.945
21:32 - 21:33 01/02/2020,85.951
21:33 - 21:34 01/02/2020,85.96
21:34 - 21:35 01/02/2020,85.938
21:35 - 21:36 01/02/2020,85.934
21:36 - 21:37 01/02/2020,85.843
21:37 - 21:38 01/02/2020,85.789
21:38 - 21:39 01/02/2020,85.801
21:39 - 21:40 01/02/2020,85.776
21:40 - 21:41 01/02/2020,85.737
21:41 - 21:42 01/02/2020,85.83
21:42 - 21:43 01/02/2020,85.92
21:43 - 21:44 01/02/2020,85.964
21:44 - 21:45 01/02/2020,85.971
21:45 - 21:46 01/02/2020,85.912
21:46 - 21:47 01/02/2020,85.938
21:47 - 21:48 01/02/2020,85.962
21:48 - 21:49 01/02/2020,85.955
21:49 - 21:50 01/02/2020,85.984
21:50 - 21:51 01/02/2020,86.023
21:51 - 21:52 01/02/2020,86.041
21:52 - 21:53 01/02/2020,86.054
21:53 - 21:54 01/02/2020,86.064
21:54 - 21:55 01/02/2020,86.054
21:55 - 21:56 01/02/2020,86.024
21:56 - 21:57 01/02/2020,86.034
21:57 - 21:58 01/02/2020,86.022
21:58 - 21:59 01/02/2020,86.035
21:59 - 22:00 01/02/2020,86.052
15:30 - 15:31 01/03/2020,88.043
15:31 - 15:32 01/03/2020,87.703
15:32 - 15:33 01/03/2020,88.442
15:33 - 15:34 01/03/2020,88.743
15:34 - 15:35 01/03/2020,89.064
15:35 - 15:36 01/03/2020,89.48
15:36 - 15:37 01/03/2020,89.744
15:37 - 15:38 01/03/2020,89.49
15:38 - 15:39 01/03/2020,90.208
15:39 - 15:40 01/03/2020,90.71
15:40 - 15:41 01/03/2020,90.432
15:41 - 15:42 01/03/2020,90.062
15:42 - 15:43 01/03/2020,90.134
15:43 - 15:44 01/03/2020,90.282
15:44 - 15:45 01/03/2020,90.072
15:45 - 15:46 01/03/2020,90.07
15:46 - 15:47 01/03/2020,89.75
15:47 - 15:48 01/03/2020,89.376
15:48 - 15:49 01/03/2020,89.514
15:49 - 15:50 01/03/2020,89.403
15:50 - 15:51 01/03/2020,89.076
15:51 - 15:52 01/03/2020,88.823
15:52 - 15:53 01/03/2020,88.8
15:53 - 15:54 01/03/2020,89.16
15:54 - 15:55 01/03/2020,89.346
15:55 - 15:56 01/03/2020,89.432
15:56 - 15:57 01/03/2020,89.552
15:57 - 15:58 01/03/2020,89.535
15:58 - 15:59 01/03/2020,89.556
15:59 - 16:00 01/03/2020,89.191
16:00 - 16:01 01/03/2020,89.228
16:01 - 16:02 01/03/2020,89.256
16:02 - 16:03 01/03/2020,89.342
16:03 - 16:04 01/03/2020,89.27
16:04 - 16:05 01/03/2020,89.6
16:05 - 16:06 01/03/2020,89.638
16:06 - 16:07 01/03/2020,89.46
16:07 - 16:08 01/03/2020,89.258
16:08 - 16:09 01/03/2020,88.912
16:09 - 16:10 01/03/2020,89.126
16:10 - 16:11 01/03/2020,89.187
16:11 - 16:12 01/03/2020,89.245
16:12 - 16:13 01/03/2020,89.36
16:13 - 16:14 01/03/2020,89.353
16:14 - 16:15 01/03/2020,89.378
16:15 - 16:16 01/03/2020,89.491
16:16 - 16:17 01/03/2020,89.422
16:17 - 16:18 01/03/2020,89.46
16:18 - 16:19 01/03/2020,89.572
16:19 - 16:20 01/03/2020,89.42
16:20 - 16:21 01/03/2020,89.292
16:21 - 16:22 01/03/2020,89.469
16:22 - 16:23 01/03/2020,89.439
16:23 - 16:24 01/03/2020,89.578
16:24 - 16:25 01/03/2020,89.777
16:25 - 16:26 01/03/2020,89.842
16:26 - 16:27 01/03/2020,89.787
16:27 - 16:28 01/03/2020,89.896
16:28 - 16:29 01/03/2020,89.812
16:29 - 16:30 01/03/2020,89.881
16:30 - 16:31 01/03/2020,89.885
16:31 - 16:32 01/03/2020,89.875
16:32 - 16:33 01/03/2020,90.076
16:33 - 16:34 01/03/2020,90.096
16:34 - 16:35 01/03/2020,90.168
16:35 - 16:36 01/03/2020,90.114
16:36 - 16:37 01/03/2020,90.108
16:37 - 16:38 01/03/2020,90.144
16:38 - 16:39 01/03/2020,90.066
16:39 - 16:40 01/03/2020,89.923
16:40 - 16:41 01/03/2020,89.857
16:41 - 16:42 01/03/2020,89.713
16:42 - 16:43 01/03/2020,89.766
16:43 - 16:44 01/03/2020,89.82
16:44 - 16:45 01/03/2020,89.824
16:45 - 16:46 01/03/2020,89.76
16:46 - 16:47 01/03/2020,89.792
16:47 - 16:48 01/03/2020,89.874
16:48 - 16:49 01/03/2020,89.914
16:49 - 16:50 01/03/2020,89.819
16:50 - 16:51 01/03/2020,89.772
16:51 - 16:52 01/03/2020,89.598
16:52 - 16:53 01/03/2020,89.632
16:53 - 16:54 01/03/2020,89.71
16:54 - 16:55 01/03/2020,89.707
16:55 - 16:56 01/03/2020,89.826
16:56 - 16:57 01/03/2020,89.674
16:57 - 16:58 01/03/2020,89.69
16:58 - 16:59 01/03/2020,89.83
16:59 - 17:00 01/03/2020,89.851
17:00 - 17:01 01/03/2020,89.806
17:01 - 17:02 01/03/2020,89.826
17:02 - 17:03 01/03/2020,89.944
17:03 - 17:04 01/03/2020,89.8
17:04 - 17:05 01/03/2020,89.766
17:05 - 17:06 01/03/2020,89.662
17:06 - 17:07 01/03/2020,89.703
17:07 - 17:08 01/03/2020,89.755
17:08 - 17:09 01/03/2020,89.688
17:09 - 17:10 01/03/2020,89.488
17:10 - 17:11 01/03/2020,89.437
17:11 - 17:12 01/03/2020,89.51
17:12 - 17:13 01/03/2020,89.579
17:13 - 17:14 01/03/2020,89.617
17:14 - 17:15 01/03/2020,89.598
17:15 - 17:16 01/03/2020,89.528
17:16 - 17:17 01/03/2020,89.698
17:17 - 17:18 01/03/2020,89.5
17:18 - 17:19 01/03/2020,89.512
17:19 - 17:20 01/03/2020,89.515
17:20 - 17:21 01/03/2020,89.476
17:21 - 17:22 01/03/2020,89.518
17:22 - 17:23 01/03/2020,89.566
17:23 - 17:24 01/03/2020,89.426
17:24 - 17:25 01/03/2020,89.43
17:25 - 17:26 01/03/2020,89.48
17:26 - 17:27 01/03/2020,89.548
17:27 - 17:28 01/03/2020,89.504
17:28 - 17:29 01/03/2020,89.59
17:29 - 17:30 01/03/2020,89.652
17:30 - 17:31 01/03/2020,89.712
17:31 - 17:32 01/03/2020,89.7
17:32 - 17:33 01/03/2020,89.656
17:33 - 17:34 01/03/2020,89.71
17:34 - 17:35 01/03/2020,89.775
17:35 - 17:36 01/03/2020,89.89
17:36 - 17:37 01/03/2020,89.782
17:37 - 17:38 01/03/2020,89.724
17:38 - 17:39 01/03/2020,89.69
17:39 - 17:40 01/03/2020,89.763
17:40 - 17:41 01/03/2020,89.831
17:41 - 17:42 01/03/2020,89.877
17:42 - 17:43 01/03/2020,89.861
17:43 - 17:44 01/03/2020,89.89
17:44 - 17:45 01/03/2020,89.832
17:45 - 17:46 01/03/2020,89.874
17:46 - 17:47 01/03/2020,89.784
17:47 - 17:48 01/03/2020,89.852
17:48 - 17:49 01/03/2020,89.846
17:49 - 17:50 01/03/2020,89.795
17:50 - 17:51 01/03/2020,89.8
17:51 - 17:52 01/03/2020,89.675
17:52 - 17:53 01/03/2020,89.624
17:53 - 17:54 01/03/2020,89.637
17:54 - 17:55 01/03/2020,89.64
17:55 - 17:56 01/03/2020,89.646
17:56 - 17:57 01/03/2020,89.65
17:57 - 17:58 01/03/2020,89.688
17:58 - 17:59 01/03/2020,89.698
17:59 - 18:00 01/03/2020,89.72
18:00 - 18:01 01/03/2020,89.734
18:01 - 18:02 01/03/2020,89.776
18:02 - 18:03 01/03/2020,89.736
18:03 - 18:04 01/03/2020,89.62
18:04 - 18:05 01/03/2020,89.682
18:05 - 18:06 01/03/2020,89.753
